x,test_y1,ideal_y42,deviation,maps
-20.0,-19.28497,40.20404,,False
-19.8,-19.915014,39.89066,,False
-19.3,-38.458572,39.050125,,False
-19.2,-37.17087,38.86961,,False
-19.1,-38.155376,38.684402,,False
-18.8,13.410461,38.099384,,False
-18.3,-19.014248,37.02638,,False
-17.9,1.1692159,36.091022,,False
-16.8,-34.480774,33.36966,,False
-15.4,29.490164,30.323524,,False
-15.0,-0.20536347,29.620155,,False
-15.0,-13.989205,29.620155,,False
-14.7,-23.71317,29.133207,,False
-14.4,-15.698657,28.670092,,False
-14.3,-30.492392,28.518942,,False
-12.5,25.675346,25.4989,0.1764460000000021,True
-12.4,1.2345738,25.293097,,False
-12.4,26.599438,25.293097,,False
-12.0,0.670648,24.421926,,False
-11.8,24.606413,23.960217,0.6461959999999998,True
-11.0,-20.263054,22.002213,,False
-10.6,19.67348,21.007332,,False
-10.4,-2.007094,20.519508,,False
-10.1,-40.44977,19.809715,,False
-10.0,18.979424,19.580463,0.6010390000000001,True
-9.7,18.183699,18.918818,,False
-9.6,-10.995601,18.707657,,False
-9.5,-9.652251,18.501413,,False
-9.1,-31.648926,17.72614,,False
-9.1,-8.293134,17.72614,,False
-8.8,16.571745,17.194454,0.6227090000000004,True
-8.7,-16.843908,17.025677,,False
-8.2,-16.575344,16.230423,,False
-8.2,15.767493,16.230423,0.4629299999999983,True
-7.9,-0.21800028,15.7769985,,False
-7.6,-39.4954,15.32563,,False
-7.3,-9.224243,14.863039,,False
-5.7,2.4492908,11.817356,,False
-5.3,-4.3722925,10.877187,,False
-4.6,-3.321962,9.143924,,False
-4.6,-0.4953994,9.143924,,False
-4.5,-9.88685,8.894602,,False
-4.0,-8.339117,7.673178,,False
-3.2,7.2523284,5.9008527,,False
-3.1,-2.7701359,5.7004323,,False
-2.8,-3.2989988,5.1288886,,False
-2.8,-2.6560864,5.1288886,,False
-1.9,-4.0369043,3.6383553,,False
-1.3,17.94832,2.7337494,,False
-1.0,38.057026,2.2701511,,False
2.842171e-13,1.0261426,0.5,0.5261426,True
0.3,1.2151024,-0.12233175,,False
0.8,1.4264555,-1.2516466,,False
2.8,-36.151726,-6.071111,,False
3.0,-0.24295843,-6.494996,,False
4.5,-0.8401146,-9.105398,,False
4.6,-7.905099,-9.256076,,False
5.3,-10.291622,-10.322813,0.031190999999999747,True
5.7,31.600712,-10.982644,,False
5.8,10.711373,-11.15724,,False
5.8,11.520408,-11.15724,,False
6.3,13.4726305,-12.100071,,False
6.7,6.232807,-12.942808,,False
6.9,7.8014545,-13.392138,,False
7.7,-14.40003,-15.323313,,False
7.7,15.392297,-15.323313,,False
7.7,7.778326,-15.323313,,False
8.1,-16.659458,-16.321772,0.3376860000000015,True
8.8,-0.7260513,-18.005547,,False
9.2,7.5970726,-18.887423,,False
9.8,-21.007133,-20.065212,,False
10.1,20.669428,-20.590284,,False
10.4,10.410377,-21.080492,,False
10.7,38.790028,-21.545645,,False
11.7,11.846094,-23.076202,,False
11.7,31.159376,-23.076202,,False
12.2,-0.010358215,-23.933184,,False
12.5,23.7267,-24.5011,,False
13.3,27.148037,-26.228626,,False
13.5,-21.734203,-26.70254,,False
13.6,12.65079,-26.944147,,False
13.6,28.536507,-26.944147,,False
13.7,28.15797,-27.188313,,False
13.9,15.310406,-27.682526,,False
14.0,-0.06650608,-27.931631,,False
14.1,0.31000805,-28.181421,,False
14.6,-0.677509,-29.423243,,False
14.7,-0.27583703,-29.666792,,False
16.3,16.863394,-33.014904,,False
16.5,-33.964134,-33.3512,0.6129340000000028,True
16.6,-33.41535,-33.513912,0.09856200000000115,True
17.1,-34.927006,-34.288906,0.6381000000000014,True
17.5,34.16104,-34.89028,,False
17.6,-35.10534,-35.04213,0.06320999999999799,True
17.9,28.078455,-35.508976,,False
18.2,18.535152,-36.001823,,False
18.7,0.8322721,-36.905582,,False
18.8,37.5234,-37.100613,,False
18.9,19.193245,-37.300636,,False
19.7,38.955273,-39.070175,,False
