x,test_y4,ideal_y48,deviation,maps
-20.0,-19.28497,-0.18627828,,False
-19.8,-19.915014,-0.23650314,,False
-19.3,-38.458572,-0.19596967,,False
-19.2,-37.17087,-0.16122419,,False
-19.1,-38.155376,-0.1200512,,False
-18.8,13.410461,0.024737414,,False
-18.3,-19.014248,0.22270104,,False
-17.9,1.1692159,0.23664671,,False
-16.8,-34.480774,-0.20444156,,False
-15.4,29.490164,0.14442876,,False
-15.0,-0.20536347,0.2470079,0.45237137,True
-15.0,-13.989205,0.2470079,,False
-14.7,-23.71317,0.22563866,,False
-14.4,-15.698657,0.12544732,,False
-14.3,-30.492392,0.07998499,,False
-12.5,25.675346,0.03308794,,False
-12.4,1.2345738,0.08165878,,False
-12.4,26.599438,0.08165878,,False
-12.0,0.670648,0.2263946,0.4442534,True
-11.8,24.606413,0.249819,,False
-11.0,-20.263054,0.0022128273,,False
-10.6,19.67348,-0.1777903,,False
-10.4,-2.007094,-0.2321988,,False
-10.1,-40.44977,-0.24395514,,False
-10.0,18.979424,-0.22823632,,False
-9.7,18.183699,-0.13076644,,False
-9.6,-10.995601,-0.08582873,,False
-9.5,-9.652251,-0.0374693,,False
-9.1,-31.648926,0.1512082,,False
-9.1,-8.293134,0.1512082,,False
-8.8,16.571745,0.23721112,,False
-8.7,-16.843908,0.24816485,,False
-8.2,-16.575344,0.15952668,,False
-8.2,15.767493,0.15952668,,False
-7.9,-0.21800028,0.022976713,0.240976993,True
-7.6,-39.4954,-0.121599674,,False
-7.3,-9.224243,-0.2236978,,False
-5.7,2.4492908,0.22983213,,False
-5.3,-4.3722925,0.23069386,,False
-4.6,-3.321962,-0.05572248,,False
-4.6,-0.4953994,-0.05572248,0.43967691999999997,True
-4.5,-9.88685,-0.10302962,,False
-4.0,-8.339117,-0.24733956,,False
-3.2,7.2523284,-0.0291373,,False
-3.1,-2.7701359,0.020772351,,False
-2.8,-3.2989988,0.15781666,,False
-2.8,-2.6560864,0.15781666,,False
-1.9,-4.0369043,0.15296447,,False
-1.3,17.94832,-0.12887534,,False
-1.0,38.057026,-0.22732435,,False
2.842171e-13,1.0261426,1.4210855e-13,,False
0.3,1.2151024,0.14116062,,False
0.8,1.4264555,0.2498934,,False
2.8,-36.151726,-0.15781666,,False
3.0,-0.24295843,-0.06985387,0.17310456000000002,True
4.5,-0.8401146,0.10302962,,False
4.6,-7.905099,0.05572248,,False
5.3,-10.291622,-0.23069386,,False
5.7,31.600712,-0.22983213,,False
5.8,10.711373,-0.20570715,,False
5.8,11.520408,-0.20570715,,False
6.3,13.4726305,0.008405762,,False
6.7,6.232807,0.18509397,,False
6.9,7.8014545,0.23592392,,False
7.7,-14.40003,0.07577959,,False
7.7,15.392297,0.07577959,,False
7.7,7.778326,0.07577959,,False
8.1,-16.659458,-0.11810549,,False
8.8,-0.7260513,-0.23721112,0.48884017999999996,True
9.2,7.5970726,-0.10864141,,False
9.8,-21.007133,0.1704909,,False
10.1,20.669428,0.24395514,,False
10.4,10.410377,0.2321988,,False
10.7,38.790028,0.13932876,,False
11.7,11.846094,-0.24672888,,False
11.7,31.159376,-0.24672888,,False
12.2,-0.010358215,-0.16722746,0.156869245,True
12.5,23.7267,-0.03308794,,False
13.3,27.148037,0.24866119,,False
13.5,-21.734203,0.23909399,,False
13.6,12.65079,0.21981826,,False
13.6,28.536507,0.21981826,,False
13.7,28.15797,0.19177909,,False
13.9,15.310406,0.114186496,,False
14.0,-0.06650608,0.06772645,0.13423253,True
14.1,0.31000805,0.01856636,0.29144169,True
14.6,-0.677509,-0.19975537,0.47775363000000004,True
14.7,-0.27583703,-0.22563866,0.05019836999999999,True
16.3,16.863394,0.2315375,,False
16.5,-33.964134,0.24997796,,False
16.6,-33.41535,0.24433562,,False
17.1,-34.927006,0.08748784,,False
17.5,34.16104,-0.107045665,,False
17.6,-35.10534,-0.14979586,,False
17.9,28.078455,-0.23664671,,False
18.2,18.535152,-0.24083005,,False
18.7,0.8322721,-0.0736679,,False
18.8,37.5234,-0.024737414,,False
18.9,19.193245,0.025179274,,False
19.7,38.955273,0.24788749,,False
